# Source: https://www.elections.org.za/pw/StatsData/Voter-Registration-Statistics (IEC live dashboard)
"# Scraped live, all provinces, unfiltered. As-of date on IEC site: 23 September 2026"
province,municipality_code,municipality_name,age_group,gender,registered_voters,is_youth
Eastern Cape,EC137,Dr. A.B. Xuma,30-39,male,7543,False
Eastern Cape,EC137,Dr. A.B. Xuma,30-39,female,8843,False
Eastern Cape,EC137,Dr. A.B. Xuma,40-49,male,6299,False
Eastern Cape,EC137,Dr. A.B. Xuma,40-49,female,7856,False
Eastern Cape,EC137,Dr. A.B. Xuma,50-59,male,4641,False
Eastern Cape,EC137,Dr. A.B. Xuma,50-59,female,7379,False
Eastern Cape,EC137,Dr. A.B. Xuma,60-69,male,4317,False
Eastern Cape,EC137,Dr. A.B. Xuma,60-69,female,6718,False
Eastern Cape,EC137,Dr. A.B. Xuma,70-79,male,2459,False
Eastern Cape,EC137,Dr. A.B. Xuma,70-79,female,4079,False
Eastern Cape,EC137,Dr. A.B. Xuma,80+,male,1443,False
Eastern Cape,EC137,Dr. A.B. Xuma,80+,female,3025,False
Eastern Cape,EC138,Sakhisizwe,18-19,male,497,True
Eastern Cape,EC138,Sakhisizwe,18-19,female,584,True
Eastern Cape,EC138,Sakhisizwe,20-29,male,2644,True
Eastern Cape,EC138,Sakhisizwe,20-29,female,2619,True
Eastern Cape,EC138,Sakhisizwe,30-39,male,3635,False
Eastern Cape,EC138,Sakhisizwe,30-39,female,3671,False
Eastern Cape,EC138,Sakhisizwe,40-49,male,3101,False
Eastern Cape,EC138,Sakhisizwe,40-49,female,3117,False
Eastern Cape,EC138,Sakhisizwe,50-59,male,2211,False
Eastern Cape,EC138,Sakhisizwe,50-59,female,2966,False
Eastern Cape,EC138,Sakhisizwe,60-69,male,1963,False
Eastern Cape,EC138,Sakhisizwe,60-69,female,2890,False
Eastern Cape,EC138,Sakhisizwe,70-79,male,1139,False
Eastern Cape,EC138,Sakhisizwe,70-79,female,1640,False
Eastern Cape,EC138,Sakhisizwe,80+,male,421,False
Eastern Cape,EC138,Sakhisizwe,80+,female,929,False
Eastern Cape,EC139,Enoch Mgijima,18-19,male,1555,True
Eastern Cape,EC139,Enoch Mgijima,18-19,female,1884,True
Eastern Cape,EC139,Enoch Mgijima,20-29,male,9032,True
Eastern Cape,EC139,Enoch Mgijima,20-29,female,10434,True
Eastern Cape,EC139,Enoch Mgijima,30-39,male,12495,False
Eastern Cape,EC139,Enoch Mgijima,30-39,female,13975,False
Eastern Cape,EC139,Enoch Mgijima,40-49,male,11981,False
Eastern Cape,EC139,Enoch Mgijima,40-49,female,13477,False
