voting_district,municipality_code_2021,municipality_name_2021,registered_voters,turnout_forecast
54440131,MP303,MP303 - Mkhondo,640.0,43.574
54440142,MP303,MP303 - Mkhondo,2062.0,48.348
54440153,MP303,MP303 - Mkhondo,1147.0,56.068
54440164,MP303,MP303 - Mkhondo,556.0,51.383
54440175,MP303,MP303 - Mkhondo,575.0,49.789
54440186,MP303,MP303 - Mkhondo,806.0,47.702
54440197,MP303,MP303 - Mkhondo,458.0,51.61
54440209,MP303,MP303 - Mkhondo,1732.0,44.93
54440210,MP303,MP303 - Mkhondo,477.0,48.236
54440221,MP303,MP303 - Mkhondo,290.0,45.738
54440232,MP303,MP303 - Mkhondo,509.0,60.343
54440243,MP303,MP303 - Mkhondo,341.0,64.209
54440254,MP303,MP303 - Mkhondo,160.0,43.781
54440276,MP303,MP303 - Mkhondo,547.0,52.557
54440287,MP303,MP303 - Mkhondo,156.0,50.07
54440298,MP303,MP303 - Mkhondo,342.0,44.724
54440300,MP303,MP303 - Mkhondo,545.0,51.248
54440311,MP303,MP303 - Mkhondo,497.0,50.386
54440322,MP303,MP303 - Mkhondo,1601.0,48.735
54440333,MP303,MP303 - Mkhondo,1092.0,52.496
54440344,MP303,MP303 - Mkhondo,271.0,52.806
54440355,MP303,MP303 - Mkhondo,1025.0,52.664
54440366,MP303,MP303 - Mkhondo,268.0,50.978
54440377,MP303,MP303 - Mkhondo,426.0,53.193
54440388,MP303,MP303 - Mkhondo,354.0,50.436
54440399,MP303,MP303 - Mkhondo,985.0,49.321
54440401,MP303,MP303 - Mkhondo,276.0,53.149
54440412,MP303,MP303 - Mkhondo,410.0,57.155
54440423,MP303,MP303 - Mkhondo,213.0,64.012
54450019,MP305,MP305 - Lekwa,1296.0,48.315
54450020,MP305,MP305 - Lekwa,346.0,42.255
54450031,MP305,MP305 - Lekwa,391.0,48.529
54450042,MP306,MP306 - Dipaleseng,347.0,50.414
54450053,MP305,MP305 - Lekwa,317.0,47.103
54450064,MP305,MP305 - Lekwa,1007.0,52.373
54450075,MP305,MP305 - Lekwa,1993.0,46.719
54450086,MP305,MP305 - Lekwa,532.0,49.352
54450097,MP307,MP307 - Govan Mbeki,361.0,29.148
54450143,MP305,MP305 - Lekwa,301.0,50.537
54450154,MP305,MP305 - Lekwa,288.0,47.611
54450165,MP305,MP305 - Lekwa,179.0,34.076
54450176,MP305,MP305 - Lekwa,209.0,48.773
54450187,MP305,MP305 - Lekwa,2499.0,46.616
54450198,MP305,MP305 - Lekwa,102.0,38.256
54450200,MP305,MP305 - Lekwa,165.0,61.387
54450211,MP305,MP305 - Lekwa,1991.0,47.879
54450222,MP305,MP305 - Lekwa,328.0,60.815
54460010,MP304,MP304 - Dr Pixley Ka Isaka Seme,226.0,43.728
54460021,MP304,MP304 - Dr Pixley Ka Isaka Seme,182.0,45.618
54460032,MP304,MP304 - Dr Pixley Ka Isaka Seme,173.0,45.333
54460043,MP304,MP304 - Dr Pixley Ka Isaka Seme,389.0,53.756
54460076,MP304,MP304 - Dr Pixley Ka Isaka Seme,201.0,48.864
54460087,MP304,MP304 - Dr Pixley Ka Isaka Seme,166.0,52.06
54470011,MP304,MP304 - Dr Pixley Ka Isaka Seme,160.0,40.851
54470044,MP303,MP303 - Mkhondo,423.0,52.632
54470055,MP304,MP304 - Dr Pixley Ka Isaka Seme,187.0,49.823
54470077,MP303,MP303 - Mkhondo,381.0,52.235
54470088,MP303,MP303 - Mkhondo,2101.0,47.972
54470099,MP303,MP303 - Mkhondo,1039.0,47.098
54470112,MP303,MP303 - Mkhondo,1567.0,46.71
54470134,MP304,MP304 - Dr Pixley Ka Isaka Seme,394.0,50.594
54470145,MP304,MP304 - Dr Pixley Ka Isaka Seme,238.0,50.297
54470156,MP303,MP303 - Mkhondo,1411.0,50.693
54470167,MP303,MP303 - Mkhondo,397.0,57.595
54470178,MP303,MP303 - Mkhondo,514.0,57.706
54470189,MP303,MP303 - Mkhondo,504.0,51.486
54470190,MP303,MP303 - Mkhondo,485.0,53.264
54470202,MP303,MP303 - Mkhondo,424.0,48.236
54470213,MP303,MP303 - Mkhondo,612.0,61.039
54490013,MP314,MP314 - Emakhazeni,1958.0,44.521
54490024,MP314,MP314 - Emakhazeni,896.0,47.009
54490035,MP314,MP314 - Emakhazeni,842.0,40.621
54490046,MP314,MP314 - Emakhazeni,993.0,43.665
54490057,MP314,MP314 - Emakhazeni,2501.0,45.12
54490068,MP314,MP314 - Emakhazeni,684.0,53.515
54490080,MP314,MP314 - Emakhazeni,606.0,50.146
54490091,MP314,MP314 - Emakhazeni,438.0,55.919
54500015,MP314,MP314 - Emakhazeni,1906.0,50.065
54500026,MP314,MP314 - Emakhazeni,512.0,54.3
54500037,MP314,MP314 - Emakhazeni,686.0,53.998
54530018,MP313,MP313 - Steve Tshwete,1279.0,38.992
54530029,MP313,MP313 - Steve Tshwete,2482.0,40.201
54530030,MP313,MP313 - Steve Tshwete,2098.0,41.483
54530041,MP313,MP313 - Steve Tshwete,1489.0,49.902
54530052,MP313,MP313 - Steve Tshwete,3162.0,44.668
54540019,MP315,MP315 - Thembisile Hani,1425.0,46.555
54540020,MP315,MP315 - Thembisile Hani,1458.0,42.592
54540042,MP315,MP315 - Thembisile Hani,1564.0,44.64
54540053,MP315,MP315 - Thembisile Hani,1140.0,43.346
54540064,MP315,MP315 - Thembisile Hani,1321.0,42.571
54540075,MP315,MP315 - Thembisile Hani,2043.0,45.04
54540086,MP315,MP315 - Thembisile Hani,1245.0,41.339
54540097,MP315,MP315 - Thembisile Hani,1983.0,43.953
54540109,MP315,MP315 - Thembisile Hani,1330.0,43.388
54540110,MP315,MP315 - Thembisile Hani,922.0,46.462
54540121,MP315,MP315 - Thembisile Hani,1988.0,42.588
54540132,MP315,MP315 - Thembisile Hani,2387.0,41.576
54540143,MP315,MP315 - Thembisile Hani,1234.0,40.647
54540154,MP315,MP315 - Thembisile Hani,2910.0,44.978
54540165,MP315,MP315 - Thembisile Hani,1736.0,44.978
54540176,MP315,MP315 - Thembisile Hani,165.0,36.104
54540187,MP315,MP315 - Thembisile Hani,1403.0,51.757
54540198,MP315,MP315 - Thembisile Hani,1131.0,50.767
54540200,MP315,MP315 - Thembisile Hani,1874.0,43.681
54540211,MP315,MP315 - Thembisile Hani,1513.0,45.081
54540222,MP315,MP315 - Thembisile Hani,1488.0,46.292
54540233,MP315,MP315 - Thembisile Hani,1223.0,41.416
54540299,MP315,MP315 - Thembisile Hani,2470.0,46.722
54540301,MP315,MP315 - Thembisile Hani,1121.0,46.225
54540312,MP315,MP315 - Thembisile Hani,626.0,47.956
54540334,MP315,MP315 - Thembisile Hani,2196.0,40.383
54540356,MP315,MP315 - Thembisile Hani,1599.0,46.886
54540367,MP315,MP315 - Thembisile Hani,397.0,52.752
54540378,MP315,MP315 - Thembisile Hani,102.0,44.101
54540389,MP315,MP315 - Thembisile Hani,1022.0,47.586
54540390,MP315,MP315 - Thembisile Hani,2112.0,46.781
54540402,MP315,MP315 - Thembisile Hani,1212.0,48.716
54540413,MP315,MP315 - Thembisile Hani,323.0,49.378
54540424,MP315,MP315 - Thembisile Hani,1096.0,48.206
54540435,MP315,MP315 - Thembisile Hani,1503.0,49.281
54540446,MP315,MP315 - Thembisile Hani,1281.0,45.374
54540457,MP315,MP315 - Thembisile Hani,839.0,46.148
54540468,MP315,MP315 - Thembisile Hani,866.0,47.107
54540479,MP315,MP315 - Thembisile Hani,1094.0,46.431
54540491,MP315,MP315 - Thembisile Hani,899.0,47.305
